a i u e o
va vi vu ve vo
vya null vyu vye vyo
ka ki ku ke ko
kya null kyu null kyo
ga gi gu ge go
gya null gyu null gyo
sa shi su se so
sha null shu she sho
za ji zu ze zo
ja null ju je jo
ta chi tsu te to
cha ti chu che cho
da dzi dzu de do
dya di dyu null dyo
na ni nu ne no
nya null nyu null nyo
ha hi fu he ho
hya null hyu null hyo
ba bi bu be bo
bya null byu null byo
pa pi pu pe po
pya null pyu null pyo
ma mi mu me mo
mya null myu null myo
ya null yu null yo
ra ri ru re ro
rya null ryu null ryo
wa null n null wo
